tld,score
aaa,0
abb,0
abbott,0
abbvie,0
abogado,0
abudhabi,0
ac,0.16
academy,0.01
accountant,0
accountants,0
aco,0
actor,0
ad,0
adult,0
ae,0
aero,0
af,0
afl,0
africa,0
ag,0
agency,0.03
ai,0
aig,0
airforce,0
al,0
alibaba,0
allfinanz,0
ally,0
alsace,0
alstom,0.01
am,0
amazon,0
amex,0
amsterdam,0
anz,0
ao,0
apartments,0
app,0.05
apple,0
aq,0
aquarelle,0
ar,0.01
archi,0
army,0.01
arpa,0
art,0.05
arte,0
as,0.02
asia,0.11
associates,0
at,0.03
attorney,0
au,0
auction,0
audi,0
audio,0
auspost,0
auto,0
autos,0.65
aw,0
aws,0
ax,0
axa,0
az,0
ba,0
baby,0
band,0
bank,0
bar,0.57
barcelona,0
barclaycard,0
barclays,0
bargains,0
basketball,0
bauhaus,0
bayern,0
bb,0
bd,0.01
be,0.01
beauty,1.31
beer,0
berlin,0
best,0.13
bet,0.03
bf,0
bg,0
bh,0
bi,0
bible,0
bid,0.27
bike,0
bing,0
bingo,0
bio,0.17
biz,0.49
bj,0.02
black,0
blackfriday,0
blog,0.01
blue,0
bm,0
bmw,0
bn,0
bnpparibas,0
bo,0
boats,1.29
bond,0.25
boo,0.14
boston,0
bot,0
boutique,0.09
box,0
br,0.03
bradesco,0
bridgestone,0
broadway,0
broker,0
brother,0
brussels,0
bs,0
bt,0
build,0
builders,0
business,0.01
buzz,0.25
bw,0.13
by,0
bz,0.09
bzh,0
ca,0.01
cab,0
cafe,0.01
cam,0.63
camera,0
camp,0
canon,0
capetown,0
capital,0.02
car,0
cards,0
care,0
career,0
careers,0
cars,0
casa,0
cash,0.07
casino,0.01
cat,0
catering,0
cba,0
cc,0.16
cd,0
center,0.05
ceo,0
cern,0
cf,0.92
cfd,1.31
cg,0
ch,0.01
charity,0
chat,0.01
cheap,0
christmas,0
church,0
ci,0.01
citi,0
citic,0
city,0.06
ck,0
cl,0.01
claims,0.09
cleaning,0
click,0.37
clinic,0
clothing,0
cloud,0.14
club,0.29
cm,0.13
cn,0.97
co,0.09
coach,0
codes,0.02
coffee,0.04
college,0
cologne,0
com,0.18
community,0
company,0.01
compare,0
computer,0
condos,0
construction,0
consulting,0
contact,0.01
contractors,0
cooking,0
cool,0.01
coop,0
corsica,0
country,0
coupons,0
courses,0
